,None,beak,body,eye,feet,head,leg,tail,unknown,wing,bumper,door,headlight,hood,trunk,wheel,window,windshield,armrest,backrest,seat,ear,mouth,neck,paw,None_total_arclength,beak_total_arclength,body_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,leg_total_arclength,tail_total_arclength,unknown_total_arclength,wing_total_arclength,bumper_total_arclength,door_total_arclength,headlight_total_arclength,hood_total_arclength,trunk_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,armrest_total_arclength,backrest_total_arclength,seat_total_arclength,ear_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength
24,0,4,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,223,10,331,201,0,82,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,14,0,0,53,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,2,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,174,32,89,106,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,1,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,207,108,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,256,0,0,329,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,312,0,152,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,4,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,151,42,429,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
