armrest_numstrokes,backrest_numstrokes,beak_numstrokes,body_numstrokes,bumper_numstrokes,door_numstrokes,ear_numstrokes,eye_numstrokes,feet_numstrokes,head_numstrokes,headlight_numstrokes,hood_numstrokes,leg_numstrokes,mouth_numstrokes,neck_numstrokes,paw_numstrokes,seat_numstrokes,tail_numstrokes,trunk_numstrokes,unknown_numstrokes,wheel_numstrokes,window_numstrokes,windshield_numstrokes,wing_numstrokes,armrest_total_arclength,backrest_total_arclength,beak_total_arclength,body_total_arclength,bumper_total_arclength,door_total_arclength,ear_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,headlight_total_arclength,hood_total_arclength,leg_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength,seat_total_arclength,tail_total_arclength,trunk_total_arclength,unknown_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,wing_total_arclength
0.0,0.0,0.05263157894736842,0.47368421052631576,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027219701879455604,0.720349967595593,0.0,0.0,0.0,0.0985093972780298,0.06189241736876215,0.0,0.0,0.0,0.031108230719377836,0.0,0.0,0.0,0.0,0.0609202851587816,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.54,0.0,0.0,0.0,0.0,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030456852791878174,0.6091370558375635,0.0,0.0,0.0,0.0,0.0775924583031182,0.17258883248730963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11022480058013052,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.045454545454545456,0.4090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03262955854126679,0.7514395393474088,0.0,0.0,0.0,0.0,0.07053742802303263,0.0,0.0,0.0,0.14539347408829176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11086226203807391,0.0,0.0,0.0,0.011198208286674132,0.0425531914893617,0.0,0.0,0.0,0.8353863381858903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35607880826525706,0.0,0.0,0.0,0.0,0.04372897645362806,0.0,0.0,0.0,0.1023546371936569,0.0,0.0,0.0,0.0,0.49783757808745793,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.11764705882352941,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397894736842105,0.0,0.0,0.0,0.010105263157894737,0.050105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.13043478260869565,0.391304347826087,0.0,0.0,0.0,0.0,0.13043478260869565,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.022461394478240523,0.4843238184370613,0.0,0.0,0.0,0.0,0.05381375760411792,0.15067852129153017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2887225081890501
0.0,0.0,0.047619047619047616,0.42857142857142855,0.0,0.0,0.0,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.012200632625395391,0.39177586985991864,0.0,0.0,0.0,0.004518752824220515,0.04021690013556258,0.4780840488025305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07320379575237235
0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983957219251337,0.0,0.0,0.0,0.0,0.10160427807486631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0730816077953715,0.820341047503045,0.0,0.0,0.0,0.030450669914738125,0.07612667478684532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
